dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
ptbxl_external,atrial_flutter,raw,0.6000000000000001,0.7000000000000001,17,0.6468106894117647,0.0
ptbxl_external,atrial_flutter,raw,0.7000000000000001,0.8,20,0.751989543,0.0
ptbxl_external,atrial_flutter,raw,0.8,0.9,38,0.8556890165789475,0.0
ptbxl_external,atrial_flutter,raw,0.9,1.0,179,0.9390294742458101,0.0335195530726257
ptbxl_external,atrial_flutter,temperature_scaled,0.0,0.1,1595,0.029402894482140247,0.0006269592476489029
ptbxl_external,atrial_flutter,temperature_scaled,0.1,0.2,165,0.13982826626375125,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.2,0.30000000000000004,78,0.24194704321379276,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.30000000000000004,0.4,48,0.3428374324874112,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.4,0.5,34,0.4448557196540675,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.5,0.6000000000000001,28,0.5494086258528984,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.6000000000000001,0.7000000000000001,20,0.6470810389212901,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.7000000000000001,0.8,27,0.7529674414397706,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.8,0.9,109,0.8690653293236336,0.0
ptbxl_external,atrial_flutter,temperature_scaled,0.9,1.0,94,0.9201341208112762,0.06382978723404255
