dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
chapman_test,atrial_fibrillation,raw,0.30000000000000004,0.4,64,0.357224960625,0.015625
chapman_test,atrial_fibrillation,raw,0.4,0.5,67,0.45010210776119397,0.08955223880597014
chapman_test,atrial_fibrillation,raw,0.5,0.6000000000000001,81,0.5519634071604937,0.16049382716049382
chapman_test,atrial_fibrillation,raw,0.6000000000000001,0.7000000000000001,131,0.651148604351145,0.183206106870229
chapman_test,atrial_fibrillation,raw,0.7000000000000001,0.8,225,0.7544014763111111,0.19111111111111112
chapman_test,atrial_fibrillation,raw,0.8,0.9,365,0.8497784018630137,0.23013698630136986
chapman_test,atrial_fibrillation,raw,0.9,1.0,19,0.9119831226315789,0.2631578947368421
chapman_test,atrial_fibrillation,temperature_scaled,0.0,0.1,3282,0.018442392551767245,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.1,0.2,135,0.14415014246646007,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.2,0.30000000000000004,84,0.24369190801928983,0.023809523809523808
chapman_test,atrial_fibrillation,temperature_scaled,0.30000000000000004,0.4,80,0.35140614208693755,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.4,0.5,113,0.4499775656492602,0.061946902654867256
chapman_test,atrial_fibrillation,temperature_scaled,0.5,0.6000000000000001,158,0.5549772724092863,0.189873417721519
chapman_test,atrial_fibrillation,temperature_scaled,0.6000000000000001,0.7000000000000001,283,0.6554934361101872,0.17667844522968199
chapman_test,atrial_fibrillation,temperature_scaled,0.7000000000000001,0.8,367,0.7435361331665795,0.23160762942779292
chapman_test,atrial_fibrillation,temperature_scaled,0.8,0.9,13,0.8108531019698361,0.3076923076923077
chapman_test,atrial_fibrillation,temperature_scaled,0.9,1.0,0,,
ptbxl_external,atrial_fibrillation,raw,0.0,0.1,1957,0.006453799056980582,0.005109862033725089
ptbxl_external,atrial_fibrillation,raw,0.1,0.2,35,0.14351846885714287,0.05714285714285714
ptbxl_external,atrial_fibrillation,raw,0.2,0.30000000000000004,19,0.25935472947368415,0.10526315789473684
ptbxl_external,atrial_fibrillation,raw,0.30000000000000004,0.4,17,0.35472493411764705,0.29411764705882354
